链家编号,标题,小区名称,小区纬度,小区经度,邻近地铁站,所属街道,所属区域,总价,地铁线路,每平方售价,建造时间,室数,厅数,厨数,卫数,所在楼层,楼层总数,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯数,户数,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,url,别墅类型,抵押信息
107102545302,户型正气，交通便利，配套设施齐全，看房方便，电梯房,万科魅力之城,31.160317,121.345958,中春路站,七宝,闵行,710,9,59375,2004,3,1,1,2,高楼层,8,119.58,平层,暂无数据,板楼,南,钢混结构,简装,一,两,有,2020-05-17,商品房,2016-07-10,普通住宅,未满两年,共有,https://sh.lianjia.com/ershoufang/107102545302.html,,
107102383020,徐姑姑推荐，小两室，近地铁，房东自住，诚心出售,荡湾新村,31.049168,121.772464,暂无信息,惠南,浦东,154,暂无信息,25485,1983,2,1,1,1,中楼层,6,60.43,平层,暂无数据,板楼,南,砖混结构,精装,一,三,无,2020-04-13,商品房,暂无数据,普通住宅,暂无数据,共有,https://sh.lianjia.com/ershoufang/107102383020.html,,
107102570462,龙源星城低价好房，房东诚心出售,龙源星城,31.052774,121.791294,暂无信息,惠南,浦东,68,暂无信息,15319,2001,1,1,0,1,中楼层,5,44.39,暂无数据,暂无数据,板楼,南,钢混结构,精装,一,二,无,2020-05-23,商品房,暂无数据,普通住宅,暂无数据,非共有,https://sh.lianjia.com/ershoufang/107102570462.html,,
107101841780,精装一室半 户型方正 采光好 易出租 没有户口,宜川五村,31.267489,121.450468,暂无信息,甘泉宜川,普陀,161,暂无信息,46654,1984,1,1,1,1,高楼层,6,34.51,平层,暂无数据,板楼,南,砖混结构,精装,一,四,无,2019-10-11,商品房,2016-03-14,普通住宅,满两年,共有,https://sh.lianjia.com/ershoufang/107101841780.html,,
107102499213,Lianjia.万达商圈+1号线通河站+全明户型+一楼带天井,共康七村,31.333867,121.442684,通河新村站,共康,宝山,230,1,44436,1997,1,1,1,1,低楼层,7,51.76,平层,暂无数据,板楼,南,砖混结构,精装,一,三,无,2020-05-08,商品房,暂无数据,普通住宅,暂无数据,非共有,https://sh.lianjia.com/ershoufang/107102499213.html,,
107102336069,近地铁1号线大两房有壁暖，10年小区车位充裕诚意出售,悦公馆(永和东路),31.294772,121.458842,汶水路站,大宁,静安,723,1,80423,2010,2,2,1,1,中楼层,24,89.9,平层,暂无数据,板楼,南 北,钢混结构,精装,两,四,有,2020-04-03,商品房,2011-09-04,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107102336069.html,,
107102552029,全明户型采光好， 一手动迁税费少，业主诚意出售。,新凯城银杏苑,31.119611,121.245114,暂无信息,泗泾,松江,218,暂无信息,29941,2012,2,1,1,1,中楼层,18,72.81,平层,暂无数据,板楼,南 北,钢混结构,简装,两,四,有,2020-05-19,动迁安置房,2016-06-07,普通住宅,满两年,非共有,https://sh.lianjia.com/ershoufang/107102552029.html,,
107102563696,房子满五唯一，南北直通采光好，看房方便，带有露台,幸福小镇,31.306612,121.614621,暂无信息,高行,浦东,530,暂无信息,47521,2005,3,2,1,1,中楼层,5,111.53,平层,暂无数据,板楼,南 北,钢混结构,简装,一,两,无,2020-05-21,商品房,2009-06-19,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107102563696.html,,
107102443996,14号线地铁+双轨交+大虹桥板块，全明户型，带拐角阳台,江桥二村,31.261495,121.353151,暂无信息,江桥,嘉定,190,暂无信息,37009,1994,1,1,1,1,低楼层,6,51.34,平层,暂无数据,板楼,南,砖混结构,简装,一,四,无,2020-04-26,商品房,暂无数据,普通住宅,暂无数据,非共有,https://sh.lianjia.com/ershoufang/107102443996.html,,
107102556892,（刚挂牌）内环内，大三房带阳台，中间楼层，不靠马路,锦绣小区,31.231472,121.575067,暂无信息,花木,浦东,640,暂无信息,78925,1996,3,1,1,1,中楼层,6,81.09,平层,暂无数据,板楼,南,砖混结构,简装,一,两,无,2020-05-20,商品房,2006-04-20,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107102556892.html,,
107102540127,此房满五年不唯一，好楼层， 一手动迁免征增值税。,阳光城市家园,31.277778,121.620816,金京路站,金桥,浦东,560,12,51963,2009,3,2,1,1,低楼层,16,107.77,平层,暂无数据,板楼,南,钢混结构,精装,一,三,有,2020-05-16,动迁安置房,2012-02-09,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107102540127.html,,
107102564617,高区朝南/视野开阔、看江景/税费少、户型方正、好看房,中福浦江汇,31.215278,121.504837,南浦大桥站,蓬莱公园,黄浦,515,4,105490,2014,1,1,1,1,高楼层,34,48.82,平层,暂无数据,板楼,南,钢混结构,精装,两,三,有,2020-05-22,商品房,2017-08-19,普通住宅,满两年,共有,https://sh.lianjia.com/ershoufang/107102564617.html,,
